Ort;behaelter_beschreibung;strasse;hausnummer;name;plz;abrufauftrag;zusatz;bezeichnung;longitude;latitude;BTyp;tag;woche
Jena;Bioabfall;Adlerstieg;1;;7749;N;;;11,61659;50,93302;2R;Fr;g
Jena;Bioabfall;Adlerstieg;11;;7749;N;;;11,61711;50,93199;2R;Do;g
Jena;Bioabfall;Adolf-Reichwein-Straße;10+10a;;7745;N;;Ammerbach;11,57093;50,90772;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;16;;7745;N;;;11,57183;50,90777;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;18;;7745;N;;;11,57213;50,90779;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;18a;;7745;N;;;11,57213;50,90779;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;2;;7745;N;;Ammerbach;;;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;24;;7745;N;;;11,57302;50,90784;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;25;;7745;N;;;11,57253;50,90788;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;26;;7745;N;;;11,57332;50,90786;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;27;;7745;N;;;11,57253;50,90788;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;28;;7745;N;;;11,57362;50,90787;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;29;;7745;N;;;11,57253;50,90788;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;31;;7745;N;;;11,57471;50,90805;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;32;;7745;N;;;11,57421;50,90791;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;34;;7745;N;;;11,57451;50,90793;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;35;;7745;N;;;11,57500;50,90808;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;36;;7745;N;;;11,57232;50,90791;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;38;;7745;N;;;11,57496;50,90796;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;4;;7745;N;;;;;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;40;;7745;N;;;11,57516;50,90798;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;6;;7745;N;;Ammerbach;11,57036;50,90774;2R;Mi;g
Jena;Bioabfall;Adolf-Reichwein-Straße;8;;7745;N;;;11,57063;50,90770;2R;Mi;g
Jena;Bioabfall;Adrian-Beier-Stieg;2;;7749;N;;;11,60146;50,92937;2R;Do;g
Jena;Bioabfall;Adrian-Beier-Stieg;5;;7749;N;;;11,60213;50,92919;2R;Mi;g
Jena;Bioabfall;Adrian-Beier-Stieg;7;;7749;N;;;11,60257;50,92901;2R;Do;g
Jena;Bioabfall;Ahornstraße;1;;7745;N;;;11,57831;50,90726;2R;Mi;g
Jena;Bioabfall;Ahornstraße;10;;7745;N;;;11,57964;50,90621;2R;Mi;g
Jena;Bioabfall;Ahornstraße;11;;7745;N;;;11,57966;50,90611;2R;Mi;g
Jena;Bioabfall;Ahornstraße;12;;7745;N;;;11,57969;50,90601;2R;Mi;g
Jena;Bioabfall;Ahornstraße;13;;7745;N;;;11,57972;50,90589;2R;Mi;g
Jena;Bioabfall;Ahornstraße;14;;7745;N;;;11,57974;50,90576;2R;Mi;g
